name,max_road_spd_kph,max_on_road_grad,max_off_road_grad,vehicle_width_m,max_override_diameter_m,vci_1,vci_50,min_turning_radius_m,locomotion_type
M1,71,68.7,54,3.65,0.25,25,58,6.1,1
M60A1,48,60,45,3.65,0.15,20,48,9.4,1
M109,56,60,45,3.1,0.12,25,57,6.6,1
M113,48,60,45,2.96,0.1,17,40,4.8,1
M35A2,56,64,30,2.43,0.06,26,59,5.3,0
M151,50,60,28,1.69,0.04,19,44,5.8,0
T62,50,62,45,3.37,0.15,21,49,9.33,1
T72,60,62,45,3.38,0.18,25,60,9.2,1
M2,66,60,60,6.2,,15,35,6.2,1
M3,66,60,60,6.2,,15,35,6.2,1
M48_ALVB,48,30,22,4.3,,26,60,9.6,1
M60_ALVB,51,30,22,4.3,,22,51,9.6,1
MLRS,64,60,45,2.97,,15,35,6.97,1
