uscs_code,rci_dry,rci_moist,rci_wet,description
GW,300,280,250,Well-graded gravel - very strong
GP,290,270,240,Poorly graded gravel
GM,260,220,170,Silty gravel
GC,240,190,140,Clayey gravel
SW,250,220,180,Well-graded sand
SP,230,200,160,Poorly graded sand
SM,200,150,100,Silty sand
SC,180,130,85,Clayey sand
ML,150,95,55,Silt
CL,160,100,60,Lean clay
OL,120,75,45,Organic silt
MH,130,80,45,Elastic silt
CH,140,85,45,Fat clay - weak when wet
OH,100,60,35,Organic clay
Pt,70,45,25,Peat - weakest
RK,400,400,400,Rock - effectively unlimited bearing
NE,,,,Not evaluated - unknown
